"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","ehscenter",FALSE,"ITT","all","R",0.182515183435554,0.0940853886489793,0.0531674768249208,NA,375
"12m","ehscenter",FALSE,"ITT","all","m_iq",0.0224363619386075,0.00601544213407543,0.000222281221256852,NA,375
"12m","ehscenter",FALSE,"ITT","all","black",-0.341722418289544,0.104118204108543,0.00113049606493712,NA,375
"12m","ehscenter",FALSE,"ITT","all","sex",-0.0897609044167657,0.0937244603532056,0.338846143435087,NA,375
"12m","ehscenter",FALSE,"ITT","all","m_age",-0.00639960001407904,0.00867394100217394,0.461115018093912,NA,375
"12m","ehscenter",FALSE,"ITT","all","m_edu_2",0.120713380641289,0.11694008679489,0.302634352869734,NA,375
"12m","ehscenter",FALSE,"ITT","all","m_edu_3",0.391298637861844,0.132174331102707,0.00327353124303599,NA,375
"12m","ehscenter",FALSE,"ITT","all","sibling",-0.0141138835768388,0.0520860109704225,0.786566096984259,NA,375
"12m","ehscenter",FALSE,"ITT","all","gestage",0.0286030884113746,0.0266297150065761,0.28348944854259,NA,375
"12m","ehscenter",FALSE,"ITT","all","mf",-0.0141763811646715,0.123047791050955,0.908342084435322,NA,375
"12m","ehscenter",FALSE,"ITT","all","poverty",0.00481812859340287,0.144803855940852,0.973474787606622,NA,375
"12m","ehscenter",FALSE,"ITT","short","Constant",-3.33280714811363,0.481302497210925,1.93611694785857e-11,NA,375
"12m","ehscenter",FALSE,"ITT","short","R",0.19221339499486,0.0949800512950559,0.0437149491772996,NA,375
"12m","ehscenter",FALSE,"ITT","short","m_iq",0.034777037028775,0.0053324810774173,2.27741453813818e-10,NA,375
"12m","ehscenter",FALSE,"ITT","short","m_age",-0.000141224032565064,0.00811932945508805,0.986131997920958,NA,375
"12m","ehscenter",FALSE,"LATE","none","Constant",-0.272586374906483,0.0877413151639156,0.00203674742220258,193.694385030213,375
"12m","ehscenter",FALSE,"LATE","none","D",0.312573500418135,0.166465162163721,0.0612007459452805,193.694385030213,375
"12m","ehscenter",FALSE,"LATE","all","Constant",-2.8717294351045,1.18620953564152,0.0159707148900991,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","D",0.31625654538686,0.161369142064775,0.0507800906893831,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","m_iq",0.02058975343676,0.00600355134871184,0.000673969921197791,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","black",-0.339316330678435,0.103038878776877,0.0010883174991215,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","sex",-0.0741516504676829,0.0930282131485335,0.42592110585209,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","m_age",-0.00791077845073029,0.00860355758890768,0.35845640616635,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","m_edu_2",0.0901432732147196,0.117187422751122,0.442261091636628,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","m_edu_3",0.327793288206824,0.136941529222526,0.0171876727968269,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","sibling",-0.0301727306208615,0.0526605297395507,0.567021972045627,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","gestage",0.0260905048331657,0.0264353112716059,0.324321303472996,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","mf",-0.0199309229048211,0.121682172961074,0.869983741349022,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","all","poverty",-0.0112531782321565,0.14382548331504,0.937678748006196,203.598683865599,375
"12m","ehscenter",FALSE,"LATE","short","Constant",-3.01115088183419,0.48101781920683,1.06459765654739e-09,210.215649336461,375
"12m","ehscenter",FALSE,"LATE","short","D",0.325765171976336,0.15882420822787,0.0409585363423516,210.215649336461,375
"12m","ehscenter",FALSE,"LATE","short","m_iq",0.031666742488396,0.00545406934310668,1.37473430477404e-08,210.215649336461,375
"12m","ehscenter",FALSE,"LATE","short","m_age",-0.00354863262835866,0.00819835350227139,0.665377450259043,210.215649336461,375
"12m","ehscenter",TRUE,"ITT","none","Constant",-0.809954011135481,0.109504797339908,3.17804093379388e-11,NA,110
"12m","ehscenter",TRUE,"ITT","none","R",0.478164854941001,0.14137008547576,0.00100177018422578,NA,110
"12m","ehscenter",TRUE,"ITT","all","Constant",-2.80959944355519,1.89865413347306,0.14204318558868,NA,110
