"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"any","ehscenter",TRUE,"ITT","all","m_age",-0.00142947144192325,0.0117359350098634,0.903297096051573,NA,110
"any","ehscenter",TRUE,"ITT","all","sibling",0.0628300989652264,0.0849294447599946,0.461142491886649,NA,110
"any","ehscenter",TRUE,"ITT","all","gestage",0.00509037757473484,0.0432639854433192,0.906571881970028,NA,110
"any","ehscenter",TRUE,"ITT","all","mf",0.0587150300924844,0.285565539221189,0.837509691047148,NA,110
"any","ehscenter",TRUE,"ITT","all","poverty",0.0826748315775519,0.239842584885732,0.731033243148976,NA,110
"any","ehscenter",TRUE,"ITT","short","Constant",-2.81918717547772,0.80684052395832,0.000695389284389465,NA,110
"any","ehscenter",TRUE,"ITT","short","R",0.53279026063202,0.14086667655384,0.000257540395028834,NA,110
"any","ehscenter",TRUE,"ITT","short","m_iq",0.0234232413508606,0.00915942068371144,0.011964069265722,NA,110
"any","ehscenter",TRUE,"ITT","short","m_age",0.000878576841013865,0.0110699814133664,0.936891388049702,NA,110
"any","ehscenter",TRUE,"LATE","none","Constant",-1.13597550314071,0.227279133065678,2.24797197146491e-06,13.2083385975995,110
"any","ehscenter",TRUE,"LATE","none","D",1.434494564823,0.496877106929685,0.00469829740207313,13.2083385975995,110
"any","ehscenter",TRUE,"LATE","all","Constant",0.37669303039338,2.48940118212875,0.880026120570369,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","D",1.51480098494373,0.509037492511452,0.00365660391996131,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","m_iq",0.0144558661070646,0.0112854745739125,0.203152873126056,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","sex",0.0293774509664437,0.18770356957548,0.875943602313631,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","m_age",-0.0256129966174333,0.0155725784916823,0.103130407427065,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","sibling",-0.0813864616528629,0.117814472738042,0.491274632950106,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","gestage",-0.0543265671610615,0.057467692347804,0.346740894304362,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","mf",0.0851845127856078,0.34620781034443,0.806142684440004,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","all","poverty",-0.195409079791893,0.310265869161182,0.530239992636039,14.3817841798548,110
"any","ehscenter",TRUE,"LATE","short","Constant",-1.81715228961692,0.913926809507874,0.049357440256452,17.050022665541,110
"any","ehscenter",TRUE,"LATE","short","D",1.41969020191903,0.440705171299076,0.00169449375915971,17.050022665541,110
"any","ehscenter",TRUE,"LATE","short","m_iq",0.0145724125709604,0.0107224354075731,0.177012813804763,17.050022665541,110
"any","ehscenter",TRUE,"LATE","short","m_age",-0.0246363869609663,0.0144507299013675,0.0911508716952082,17.050022665541,110
"any","abc",FALSE,"ITT","none","Constant",-0.53365878,0.129518677572101,7.76012674984315e-05,NA,103
"any","abc",FALSE,"ITT","none","R",0.972460534716981,0.18055647982304,4.71566498481054e-07,NA,103
"any","abc",FALSE,"ITT","all","Constant",-3.54663967207747,1.90593000567588,0.0659951701241074,NA,103
"any","abc",FALSE,"ITT","all","R",1.0502057137231,0.184063282763659,1.43026229775516e-07,NA,103
"any","abc",FALSE,"ITT","all","m_iq",0.0264575289950457,0.00865529119678561,0.00293654496968251,NA,103
"any","abc",FALSE,"ITT","all","black",-0.593301369560245,0.772226129689743,0.444298192889027,NA,103
"any","abc",FALSE,"ITT","all","sex",-0.0403984156457792,0.185663852408201,0.828236486129252,NA,103
"any","abc",FALSE,"ITT","all","m_age",0.0260233967949918,0.0313990075812354,0.409388003180159,NA,103
"any","abc",FALSE,"ITT","all","m_edu_2",-0.451558221855,0.223916191615397,0.0466807099164235,NA,103
"any","abc",FALSE,"ITT","all","m_edu_3",0.140592947669905,0.503950080683695,0.7808917492735,NA,103
"any","abc",FALSE,"ITT","all","sibling",-0.0391824331749105,0.140675988084292,0.781237745529048,NA,103
"any","abc",FALSE,"ITT","all","gestage",0.0246160080010838,0.0370873406916597,0.508540759830542,NA,103
"any","abc",FALSE,"ITT","all","mf",0.141298723197011,0.235313087024361,0.549684838665341,NA,103
"any","abc",FALSE,"ITT","all","poverty",-0.19402884873258,0.325654447104825,0.552779829396406,NA,103
"any","abc",FALSE,"ITT","short","Constant",-2.97367851345937,0.765931099111487,0.000186684040276993,NA,103
"any","abc",FALSE,"ITT","short","R",0.968003397201768,0.17359953444747,2.13549824861585e-07,NA,103
"any","abc",FALSE,"ITT","short","m_iq",0.0246328484236951,0.00753335611128075,0.00148088839241203,NA,103
"any","abc",FALSE,"ITT","short","m_age",0.0189260253764766,0.0178073479091077,0.290448751312352,NA,103
"any","abc",FALSE,"LATE","none","Constant",-0.599708000427168,0.137033689754427,2.94592191708822e-05,358.903878761706,103
